capella,s2,gap_days,same_day,feature,crop,n,rho,p,clears
20251112,20251112,0,True,b0_db,Cotton,420,0.5186,2.742735529476316e-30,True
20251112,20251112,0,True,b0_db,Maize,54,0.1994,0.14832096493793492,False
20251112,20251112,0,True,b0_db,Bajra,146,0.0718,0.38890299471733836,False
20251112,20251112,0,True,b0_db,Groundnut,220,0.4079,3.141743253131073e-10,False
20251112,20251112,0,True,cv,Rice,86,0.0107,0.9223236086225088,False
20251112,20251112,0,True,cv,Cotton,420,0.036,0.4620533518607065,False
20251112,20251112,0,True,cv,Maize,53,-0.1336,0.34020075080794865,False
20251112,20251112,0,True,cv,Bajra,146,-0.121,0.14577687085138977,False
20251112,20251112,0,True,cv,Groundnut,220,-0.1733,0.010033112414255243,False
20251112,20251112,0,True,ktex,Rice,85,0.0344,0.7548163112088266,False
20251112,20251112,0,True,ktex,Cotton,402,0.0387,0.4384948462604362,False
20251112,20251112,0,True,ktex,Maize,49,-0.128,0.3808095297101787,False
20251112,20251112,0,True,ktex,Bajra,137,-0.1524,0.0753844584314308,False
20251112,20251112,0,True,ktex,Groundnut,211,-0.1465,0.033395835984710805,False
20251112,20251112,0,True,glcm_resid,Rice,86,0.168,0.12202154157679101,False
20251112,20251112,0,True,glcm_resid,Cotton,419,0.1472,0.002523876265701712,False
20251112,20251112,0,True,glcm_resid,Maize,53,-0.0409,0.7713271489874275,False
20251112,20251112,0,True,glcm_resid,Bajra,146,0.0033,0.9681462055061534,False
20251112,20251112,0,True,glcm_resid,Groundnut,220,0.0178,0.7933614327950382,False
20251112,20251112,0,True,nesz_margin_db,Rice,86,0.5512,3.80057902053088e-08,True
20251112,20251112,0,True,nesz_margin_db,Cotton,420,0.5186,2.742735529476316e-30,True
20251112,20251112,0,True,nesz_margin_db,Maize,54,0.1994,0.14832096493793492,False
20251112,20251112,0,True,nesz_margin_db,Bajra,146,0.0718,0.38890299471733836,False
20251112,20251112,0,True,nesz_margin_db,Groundnut,220,0.4079,3.141743253131073e-10,False
