year,n_scenes,vv_farm_db,vv_nonfarm_db,vv_diff_db,vh_farm_db,vh_nonfarm_db,vh_diff_db
2017,9,-6.862137728811925,-6.803609919235035,-0.058527809576889744,-13.560998655747529,-13.229598230045653,-0.3314004257018759
2018,9,-6.572202334725986,-6.827305623483025,0.2551032887570388,-13.293044132734185,-13.348179697312883,0.05513556457869839
2019,7,-6.723014939750252,-6.670337655052142,-0.05267728469810962,-13.580981064384815,-13.343350044428552,-0.2376310199562628
2020,10,-6.619570788615211,-6.52512730955682,-0.09444347905839123,-13.567876377072599,-13.22893681710461,-0.3389395599679883
2021,10,-6.2547258269628925,-6.28929984322647,0.034574016263577256,-13.024263272595762,-12.795681787643723,-0.22858148495203956
2022,8,-6.802793048594222,-6.8341163171187835,0.03132326852456124,-13.738794494239992,-13.466214092034532,-0.27258040220545965
2023,9,-6.873863318047514,-6.708362834860303,-0.1655004831872109,-13.693051970643698,-13.33098104173984,-0.36207092890385795
2024,9,-6.798324242421701,-6.860588125264215,0.062263882842513496,-13.613296229774344,-13.514039349129689,-0.09925688064465454
2025,9,-6.483749293706699,-6.3788733175031975,-0.10487597620350186,-13.226337847051365,-12.976651216991925,-0.2496866300594398
