date,local,utc_hour,pointing,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,soil_moisture_0_to_7cm,soil_temperature_0_to_7cm,wind_speed_10m,surface_pressure,cloud_cover,dewpoint_depression_C,precip_6h_mm,precip_24h_mm,precip_72h_mm
20250606,2025-06-06T12:55:03,2025-06-06T07:00,left,36.5,45,22.6,0.0,0.151,37.0,7.1,1003.4,6,13.9,0.0,0.0,1.5
20250619,2025-06-19T07:44:13,2025-06-19T02:00,left,26.6,95,25.7,1.0,0.434,27.5,6.7,994.8,100,0.9,12.5,24.4,66.6
20250814,2025-08-14T08:41:27,2025-08-14T03:00,left,27.1,89,25.1,0.0,0.196,27.6,8.1,999.9,100,2.0,2.2,3.3,6.5
20251013,2025-10-13T07:56:45,2025-10-13T02:00,left,21.5,71,16.0,0.0,0.133,22.6,9.6,1007.7,0,5.5,0.0,0.0,0.0
20251029,2025-10-30T01:37:22,2025-10-29T20:00,right,25.3,75,20.4,0.0,0.372,26.1,14.1,1001.8,100,4.9,0.0,0.0,55.7
20251112,2025-11-12T19:22:22,2025-11-12T13:00,left,22.8,63,15.4,0.0,0.22,24.3,7.6,1009.6,0,7.4,0.0,0.0,0.0
