crop,n_plots,area_ha,area_share_pct,anchor_t_ha,yield_forecast_t_ha_aw,production_t,yield_to_date_t_ha_aw,health_aw,epistemic_object
Rice,86,47.442,10.6,1.69,1.69,80.177,1.69,48.14,RETROSPECTIVE RECONSTRUCTION
Cotton,455,193.434,43.22,0.7301,0.7301,141.23,0.2044,53.35,FORECAST
Maize,55,26.709,5.97,2.312,2.312,61.751,2.312,51.82,RETROSPECTIVE RECONSTRUCTION
Bajra,149,42.278,9.45,1.91,1.91,80.75,1.91,48.2,RETROSPECTIVE RECONSTRUCTION
Groundnut,221,137.677,30.76,2.514,2.514,346.119,2.3883,48.34,NEAR-COMPLETE MEASUREMENT
ALL,966,447.54,100.0,,1.5865,710.028,1.3206,50.68,THREE DIFFERENT OBJECTS -- see per-crop rows
